分类,研报标题,类型,评级,分享时间,来源页,抓取时间,摘要,作者,页数,日期,分享者
本周热门,东兴证券-通威股份-600438-硅料龙头地位稳固，静待反内卷供给侧优化-250731,公司调研,推荐（首次）,2025-07-31,2,2025-08-07 09:12:34,,,,,
本周热门,万联证券-2025年中期通信行业投资策略报告：算力引擎强驱动，星地空网共发展-250801,行业分析,强于大市,2025-08-01,2,2025-08-07 09:12:34,,,,,
本周热门,中原证券-汽车行业深度分析：新能源汽车产业链分析及河南省概况-250730,行业分析,强于大市,2025-07-30,2,2025-08-07 09:12:34,,,,,
本周热门,东兴证券-科达利-002850-锂电结构件龙头，拓展人形机器人第二曲线-250730,公司调研,强烈推荐（首次）,2025-07-30,2,2025-08-07 09:12:34,,,,,
本周热门,国投证券-诚意药业-603811-氨糖续约后稳健放量，神经酸创新推动研发渐入佳境-250730,公司调研,买入-A（首次）,2025-07-30,2,2025-08-07 09:12:34,,,,,
本周热门,财通证券-固态电池设备行业周报：宁德时代公布固态电池量产规划-250803,行业分析,看好,2025-08-04,2,2025-08-07 09:12:34,,,,,
本周热门,慧博智能投研-民爆行业深度：行业现状、供需分析、产业链及相关公司深度梳理-250804,行业分析,,2025-08-04,2,2025-08-07 09:12:34,,,,,
本周热门,民生证券-仕佳光子-688313-2025年半年报点评：业绩超预期，AI显著拉动光器件产品需求-250801,公司调研,推荐,2025-08-01,2,2025-08-07 09:12:34,,,,,
本周热门,华安证券-中鼎股份-000887-汽零白马卡位机器人，低估值高弹性兼备-250729,公司调研,买入（首次）,2025-07-31,2,2025-08-07 09:12:34,,,,,
本周热门,民生证券-锂行业动态报告：供应端干扰加剧，周期底部夯实-250730,行业分析,推荐,2025-07-30,2,2025-08-07 09:12:34,,,,,
本周热门,光大证券-2025年8月五维行业比较观点：关注顺周期-250802,投资策略,,2025-08-02,2,2025-08-07 09:12:34,,,,,
本周热门,东吴证券-北交所定期报告：政治局会议定调下半年经济工作，北证指数收跌1.75%-250730,投资策略,,2025-07-30,2,2025-08-07 09:12:34,,,,,
本周热门,开源证券-北交所策略专题报告：北证50调仓窗口期临近，指数基金破113亿布局稀缺α应对高β震荡-250803,投资策略,,2025-08-04,2,2025-08-07 09:12:34,,,,,
本周热门,华西证券-计算机行业：中国香港稳定币监管制度核心要点-250730,行业分析,推荐,2025-07-30,2,2025-08-07 09:12:34,,,,,
本周热门,光大证券-安培龙-301413-首次覆盖报告：传感器国产替代龙头，战略发展机器人用力传感器-250806,公司调研,买入（首次）,2025-08-06,2,2025-08-07 09:12:34,,,,,
本周热门,移动支付网-非银金融行业：2025全球稳定币产业发展报告-250731,行业分析,,2025-07-31,2,2025-08-07 09:12:34,,,,,
本周热门,国信证券-电力设备新能源行业点评：北美云服务商持续加大AI投入，国常会审议通过《关于深入实施“人工智能+”行动的意见》-250801,行业分析,优于大市,2025-08-01,2,2025-08-07 09:12:34,,,,,
本周热门,中原证券-光迅科技-002281-公司点评报告：高速率光模块批量出货，国内云厂商中标份额领先-250731,公司调研,买入（首次）,2025-07-31,2,2025-08-07 09:12:34,,,,,
本周热门,东莞证券-华测导航-300627-深度报告：深耕高精度时空信息产业，泛化应用布局创造价值-250731,公司调研,买入,2025-07-31,2,2025-08-07 09:12:34,,,,,
本周热门,天风证券-通信行业研究周报：微软、Meta季度业绩超预期，资本开支有望延续高增长-250805,行业分析,强于大市,2025-08-05,2,2025-08-07 09:12:34,,,,,
本周热门,中国联通-机器人行业：人形机器人应用与发展前瞻-250731,行业分析,,2025-08-06,2,2025-08-07 09:12:34,,,,,
本周热门,东吴证券-嘉和美康-688246-电子病历龙头，深度拓展AI应用-250804,公司调研,买入（首次）,2025-08-05,2,2025-08-07 09:12:34,,,,,
本周热门,民生证券-沪光股份-605333-深度报告：国产线束之光，连接器助力成长-250805,公司调研,推荐,2025-08-05,2,2025-08-07 09:12:34,,,,,
本周热门,太平洋证券-爱玛科技-603529-两轮车紧抓“她经济”布局女性客群，三轮车业务有望贡献新增量-250731,公司调研,买入,2025-08-01,2,2025-08-07 09:12:34,,,,,
本周热门,民生证券-海外市场追踪：非农骤降的市场信号-250801,宏观经济,,2025-08-02,2,2025-08-07 09:12:34,,,,,
本周热门,天风证券-海外经济跟踪周报：关税和非农冲击，海外市场变盘-250803,宏观经济,,2025-08-03,2,2025-08-07 09:12:34,,,,,
本周热门,东吴证券-春风动力-603129-三大业务共振向上，动力运动龙头加速成长-250805,公司调研,买入,2025-08-06,2,2025-08-07 09:12:34,,,,,
本周热门,华鑫证券-美联新材-300586-公司动态研究报告：EX电子材料全国唯一供应商，迎接AI浪潮打造新增长曲线-250731,公司调研,买入（首次）,2025-08-02,2,2025-08-07 09:12:34,,,,,
本周热门,国信证券-农林牧渔行业美国农业部（USDA）月度供需报告数据分析专题：美国2026年牛价景气预计向上，牛奶期末库存小幅下调-250731,行业分析,优于大市,2025-07-31,2,2025-08-07 09:12:34,,,,,
本周热门,东吴证券-专用设备行业点评报告：头部厂商公布固态电池时间线指引，设备商有望率先受益-250731,行业分析,增持,2025-07-31,3,2025-08-07 09:12:36,,,,,
本周热门,天风证券-航空机场行业：航空反内卷，可以做什么？-250801,行业分析,强于大市,2025-08-01,3,2025-08-07 09:12:36,,,,,
本周热门,国信证券-7月政治局会议解读：财政“蓄水池”成为下半程的关键-250730,宏观经济,,2025-07-30,3,2025-08-07 09:12:36,,,,,
本周热门,东吴证券-明阳科技-837663-国内汽车座椅核心零部件供应商，智能化浪潮与产品结构优化增长可期-250802,公司调研,买入,2025-08-02,3,2025-08-07 09:12:36,,,,,
本周热门,中邮证券-宏和科技-603256-宏图织就，和布同行-250801,公司调研,买入（首次）,2025-08-01,3,2025-08-07 09:12:36,,,,,
本周热门,华西证券-计算机行业周报：Figma上市超预期，叠加“AI+”政策走出共振行情-250803,行业分析,推荐,2025-08-03,3,2025-08-07 09:12:36,,,,,
本周热门,开源证券-领益智造-002600-公司首次覆盖报告：全球领先的终端硬件智造平台，机器人打开长期空间-250805,公司调研,买入（首次）,2025-08-06,3,2025-08-07 09:12:36,,,,,
本周热门,光大证券-2025年7月美国非农数据点评：为什么美国非农就业大幅下修？-250802,宏观经济,,2025-08-02,3,2025-08-07 09:12:36,,,,,
本周热门,开源证券-通信行业点评报告：Vertiv和Celestica上调指引，液冷按下提速键-250731,行业分析,看好,2025-07-31,3,2025-08-07 09:12:36,,,,,
本周热门,东吴证券-北交所定期报告：七部门发布金融支持新型工业化指导意见-250805,投资策略,,2025-08-05,3,2025-08-07 09:12:36,,,,,
本周热门,国信证券-8月策略观点：波动放大如何应对？-250803,投资策略,,2025-08-03,3,2025-08-07 09:12:36,,,,,
本周热门,华西证券-非农史诗级下修，9月降息50bp成备选-250802,宏观经济,,2025-08-02,3,2025-08-07 09:12:36,,,,,
本周热门,华安证券-国轩高科-002074-技术引领推动电池创新，高度国际化盈利领先-250730,公司调研,买入（首次）,2025-07-31,3,2025-08-07 09:12:36,,,,,
本周热门,国金证券-医药健康行业周报：创新药龙头BD频出，关注慢病&小核酸赛道-250802,行业分析,买入,2025-08-02,3,2025-08-07 09:12:36,,,,,
本周热门,中航证券-传媒行业AI系列报告（二）：重构电商运营逻辑与增长范式-250729,行业分析,增持,2025-08-04,3,2025-08-07 09:12:36,,,,,
本周热门,中航证券-创益通-300991-连接器小巨人，布局低空经济打开想象空间-250724,公司调研,买入（首次）,2025-08-01,3,2025-08-07 09:12:36,,,,,
本周热门,国信证券-机械设备行业制造成长周报（第25期）：国常会推进深入实施“人工智能+”行动，湖北设立百亿元人形机器人母基金-250806,行业分析,优于大市,2025-08-06,3,2025-08-07 09:12:36,,,,,
本周热门,华西证券-流动性跟踪：隔夜利率重回1.3%-250802,宏观经济,,2025-08-02,3,2025-08-07 09:12:36,,,,,
本周热门,国金证券-山西汾酒-600809-再论汾酒势能与全国化潜力-250731,公司调研,买入,2025-08-01,3,2025-08-07 09:12:36,,,,,
本周热门,长城证券-雅江水电专题系列报告2，机电设备行业：国之重器水电大心脏，清洁能源输电主动脉-250805,行业分析,强于大市,2025-08-05,3,2025-08-07 09:12:36,,,,,
本周热门,华安证券-龙迅股份-688486-安徽半导体产业巡礼系列（1）：国内高清视频芯片领军者，汽车/AR业务打开成长空间-250722,公司调研,买入（首次）,2025-07-31,3,2025-08-07 09:12:36,,,,,
本周热门,华西证券-债券征税新规发布，五大关注-250801,宏观经济,,2025-08-01,3,2025-08-07 09:12:36,,,,,
本周热门,开源证券-计算机行业点评报告：Figma上市，重视AI应用投资机会-250801,行业分析,看好,2025-08-01,3,2025-08-07 09:12:36,,,,,
本周热门,民生证券-伯特利-603596-系列点评九：发布员工持股计划 助力长期成长-250801,公司调研,推荐,2025-08-01,3,2025-08-07 09:12:36,,,,,
本周热门,国投证券-钴行业深度：供给减量逐步兑现，看好钴价上涨空间-250806,行业分析,领先大市-A,2025-08-06,3,2025-08-07 09:12:36,,,,,
本周热门,民生证券-钴行业动态报告：原料进口大幅下降，钴价第二轮上涨启动-250802,行业分析,推荐,2025-08-02,3,2025-08-07 09:12:36,,,,,
本周热门,国金证券-永新股份-002014-塑料软包龙头，增长型红利属性凸显布局价值-250804,公司调研,买入（首次）,2025-08-05,3,2025-08-07 09:12:36,,,,,
本周热门,民生证券-宁德时代-300750-2025年中报业绩点评：业绩再超预期，海外业务、技术创新释放澎湃动力-250731,公司调研,推荐,2025-07-31,3,2025-08-07 09:12:36,,,,,
本周热门,天风证券-政治局会议点评：7月政治局会议的几个要点-250730,债券研究,,2025-07-30,3,2025-08-07 09:12:36,,,,,
本周热门,山西证券-新材料行业周报：世界机器人大会召开在即，关注人形机器人领域材料进展-250806,行业分析,领先大市-B,2025-08-06,3,2025-08-07 09:12:36,,,,,
本周热门,东莞证券-沪电股份-002463-深度报告：技术卡位优势明显，AI算力产品迎收获期-250805,公司调研,买入,2025-08-05,3,2025-08-07 09:12:36,,,,,
本周热门,光大证券-机械行业周报2025年第31周：我国部署深入实施“人工智能+”行动，雅下水电站带动工程机械需求提升-250805,行业分析,买入,2025-08-05,3,2025-08-07 09:12:36,,,,,
本周热门,民生证券-2025年7月政治局会议点评：政治局会议的破题信号-250730,宏观经济,,2025-07-30,3,2025-08-07 09:12:36,,,,,
本周热门,华鑫证券-计算机行业周报：阿里发布AI编程大模型Qwen3~Coder，钛动科技发布全球首个营销Agent-250801,行业分析,推荐,2025-08-01,3,2025-08-07 09:12:36,,,,,
本周热门,国金证券-政策与战略专题报告：量子科技系列二，掘金量子计算，解码D~WAVE商业化之路-250730,投资策略,,2025-07-31,3,2025-08-07 09:12:36,,,,,
本周热门,来觅研究院-人形机器人行业：人形机器人技术多点突破，量产订单双提速-250731,行业分析,,2025-07-31,3,2025-08-07 09:12:36,,,,,
本周热门,东吴证券-海亮股份-002203-受益美国“铜”区别关税影响，利润增长有望超预期-250802,公司调研,买入,2025-08-02,3,2025-08-07 09:12:36,,,,,
本周热门,长城证券-通信行业周报：国内机器人产业加速拓展，Al Agent持续演进，持续看好相关产业投资机会-250731,行业分析,强于大市,2025-07-31,3,2025-08-07 09:12:36,,,,,
本周热门,国信证券-安克创新-300866-股权激励彰显发展信心，新品有望持续贡献增量-250801,公司调研,优于大市,2025-08-01,3,2025-08-07 09:12:36,,,,,
本周热门,华西证券-通信行业：持续推荐国产算力及AI+应用-250803,行业分析,推荐,2025-08-03,3,2025-08-07 09:12:36,,,,,
本周热门,中邮证券-中共中央政治局会议精神学习-250803,宏观经济,,2025-08-03,3,2025-08-07 09:12:36,,,,,
本周热门,东吴证券-北交所定期报告：发改委召开发布会解读经济形势与工作，A股主要指数普遍回调-250801,投资策略,,2025-08-01,3,2025-08-07 09:12:36,,,,,
本周热门,国金证券-国债利息征税的逻辑与影响-250802,宏观经济,,2025-08-02,3,2025-08-07 09:12:36,,,,,
本周热门,东吴证券-铁大科技-872541-轨交信号行业享红利，布局无人物流与机器人产业待腾飞-250804,公司调研,买入（首次）,2025-08-04,3,2025-08-07 09:12:36,,,,,
本周热门,华西证券-豪能股份-603809-汽车传动专家，新产品+新赛道打开长期成长空间-250728,公司调研,增持（首次）,2025-07-30,3,2025-08-07 09:12:36,,,,,
本周热门,华宝证券-2025年8月资产配置报告：赚钱效应扩散，多主题轮动延续-250806,宏观经济,,2025-08-06,3,2025-08-07 09:12:36,,,,,
本周热门,华西证券-焦炭现货再提价-250730,宏观经济,,2025-07-31,3,2025-08-07 09:12:36,,,,,
本周热门,中邮证券-迈威生物-688062-BD落地优化现金流，ADC+TCE平台产品出海可期-250730,公司调研,买入（首次）,2025-07-30,3,2025-08-07 09:12:36,,,,,
本周热门,天风证券-8月，三伏处暑，A股动静框架之静态指标-250802,投资策略,,2025-08-02,3,2025-08-07 09:12:36,,,,,
本周热门,东方证券-甘李药业-603087-创新药数据频出，GZR18降糖效果亮眼-250730,公司调研,买入,2025-07-30,3,2025-08-07 09:12:36,,,,,
本月热门,西南证券-医药行业2025年中期投资策略：BD加速创新药重估，后续持续看好创新药及产业链、AI医疗、脑机接口等结构性机会-250720,行业分析,,2025-07-20,1,2025-08-07 09:12:39,,,,,
本月热门,东海证券-机械行业：人形机器人从概念到量产，核心零部件机遇梳理-250716,行业分析,,2025-07-17,1,2025-08-07 09:12:39,,,,,
本月热门,东吴证券-固态电池行业：固态电池渐行渐近、新技术及工艺持续涌现-250710,行业分析,,2025-07-10,1,2025-08-07 09:12:39,,,,,
本月热门,天风证券-医药生物行业：2015~2025，中国创新药投资十年复盘-250722,行业分析,强于大市,2025-07-22,1,2025-08-07 09:12:39,,,,,
本月热门,华福证券-人工智能行业：国产AI Agent的崛起-250728,行业分析,强于大市,2025-07-28,1,2025-08-07 09:12:39,,,,,
本月热门,国金证券-北方导航-600435-业绩大幅改善，低成本弹药进入放量期-250710,公司调研,买入,2025-07-11,1,2025-08-07 09:12:39,,,,,
本月热门,东吴证券-电网&工控行业2025中期策略报告：AIDC&机器人趋势不改，继续看好第二增长曲线-250709,行业分析,,2025-07-09,1,2025-08-07 09:12:39,,,,,
本月热门,东吴证券-人形机器人行业深度报告：机器人旋转关节核心部件，精密减速器国产替代正当时-250724,行业分析,,2025-07-24,1,2025-08-07 09:12:39,,,,,
本月热门,东吴证券-人形机器人行业深度研究系列九：人形机器人轻量化，产业化前夕的进修课，应用为重-250712,行业分析,,2025-07-12,1,2025-08-07 09:12:39,,,,,
本月热门,国信证券-基础化工行业专题：PCB上游材料分析框架-250730,行业分析,优于大市（首次）,2025-07-30,1,2025-08-07 09:12:39,,,,,
本月热门,华西证券-鼎沸时，看科技-250723,宏观经济,,2025-07-23,1,2025-08-07 09:12:39,,,,,
本月热门,国投证券-电力设备及新能源行业固态电池系列报告（一）：未来已来，固态电池行业迎来产业驱动-250716,行业分析,领先大市-A,2025-07-16,1,2025-08-07 09:12:39,,,,,
本月热门,华西证券-计算机行业：从Figma IPO看AI应用产业机遇-250730,行业分析,,2025-07-31,1,2025-08-07 09:12:39,,,,,
本月热门,东吴证券-计算机行业深度报告：落实“人工智能+”，赋能千行百业-250713,行业分析,增持,2025-07-15,1,2025-08-07 09:12:39,,,,,
本月热门,财通证券-龙头化研究1：“反内卷”整合，龙头化五大方向-250723,投资策略,,2025-07-24,1,2025-08-07 09:12:39,,,,,
本月热门,华鑫证券-新易盛-300502-公司事件点评报告：800G需求爆发驱动业绩高增，技术领先夯实成长动能-250721,公司调研,买入,2025-07-21,1,2025-08-07 09:12:39,,,,,
本月热门,国金证券-非银行金融行业稳定币系列报告一：扬帆起航，香港稳定币产业链生态深度解析-250717,行业分析,买入,2025-07-18,1,2025-08-07 09:12:39,,,,,
本月热门,民生证券-机器人行业专题报告：人形机器人量产在即，重视相关新材料投资机会-250708,行业分析,推荐,2025-07-08,1,2025-08-07 09:12:39,,,,,
本月热门,国信证券-东方电气-600875-雅鲁藏布江下游水电工程开工，水电设备持续成长-250720,公司调研,优于大市,2025-07-20,1,2025-08-07 09:12:39,,,,,
本月热门,国金证券-基础化工行业点评：雅鲁藏布江下游水电工程正式开工，民爆企业或将受益于需求增长-250720,行业分析,买入,2025-07-21,1,2025-08-07 09:12:39,,,,,
本月热门,慧博智能投研-光刻机行业深度：核心技术、竞争格局、国产替代及相关公司深度梳理-250714,行业分析,,2025-07-14,1,2025-08-07 09:12:39,,,,,
本月热门,国金证券-机械行业深度研究：超导材料供给危机，核聚变需求加速，谁在突破产能瓶颈？-250710,行业分析,买入,2025-07-11,1,2025-08-07 09:12:39,,,,,
本月热门,国信证券-计算机行业全球AI应用产品梳理：模型能力持续迭代，智能体推动商业化进程-250723,行业分析,优于大市,2025-07-23,1,2025-08-07 09:12:39,,,,,
本月热门,慧博智能投研-端侧AI行业深度：驱动因素、商业模式、产业链及相关公司深度梳理-250714,行业分析,,2025-07-14,1,2025-08-07 09:12:39,,,,,
本月热门,开源证券-基础化工行业化工“反内卷”系列报告（开篇）：“反内卷”势在必行，化工行业新一轮供给侧改革呼之欲出-250722,行业分析,看好,2025-07-22,1,2025-08-07 09:12:39,,,,,
本月热门,长城证券-周度策略行业配置观点：苦于“弱现实”久矣，正视我们在改善-250714,投资策略,,2025-07-14,1,2025-08-07 09:12:39,,,,,
本月热门,开源证券-元件行业深度报告：特种玻纤布供不应求，国产厂商加速渗透-250710,行业分析,看好,2025-07-10,1,2025-08-07 09:12:39,,,,,
本月热门,东吴证券-计算机行业深度报告：AI Agent，智能经济时代的生产力解压缩器-250728,行业分析,增持,2025-07-28,1,2025-08-07 09:12:39,,,,,
本月热门,开源证券-赛力斯-601127-公司信息更新报告：Q2业绩预计高增，高端车型持续放量推动量价齐升-250711,公司调研,买入,2025-07-11,1,2025-08-07 09:12:39,,,,,
本月热门,国金证券-智元机器人行业专题（一）：国内人形商业化头部公司，供应链生态初具雏形-250721,行业分析,买入,2025-07-22,1,2025-08-07 09:12:39,,,,,
本月热门,慧博智能投研-液冷行业深度：驱动因素、市场空间、产业链及相关公司深度梳理-250725,行业分析,,2025-07-25,1,2025-08-07 09:12:39,,,,,
本月热门,天风证券-半导体行业研究周报：半年报业绩预告期，重点关注各板块高增绩优标的-250715,行业分析,强于大市,2025-07-15,1,2025-08-07 09:12:39,,,,,
本月热门,光大证券-2025年中期策略：望向新高-250710,投资策略,,2025-07-10,1,2025-08-07 09:12:39,,,,,
本月热门,太平洋证券-稀土行业深度：稀土产业链，优势在我-250731,行业分析,,2025-08-01,1,2025-08-07 09:12:39,,,,,
本月热门,国投证券-药明康德-603259-核心管线厚积薄发，一体化CRDMO龙头砥砺奋进再起航-250720,公司调研,买入-A,2025-07-20,1,2025-08-07 09:12:39,,,,,
本月热门,国信证券-医药生物行业2025年7月投资策略：继续推荐关注创新药及创新产业链-250717,行业分析,优于大市,2025-07-17,1,2025-08-07 09:12:39,,,,,
本月热门,东方证券-传媒行业AI产业研究系列（二）字节跳动AI应用篇：字节AI应用流量领先，下半年看好垂类应用变现提速-250730,行业分析,看好,2025-07-31,1,2025-08-07 09:12:39,,,,,
本月热门,东吴证券-长江电力-600900-2025H1电量稳增，国债收益率下行红利标杆空间打开-250711,公司调研,买入,2025-07-11,1,2025-08-07 09:12:39,,,,,
本月热门,国投证券-计算机行业：RDA，链接加密货币和数据要素的桥梁-250713,行业分析,领先大市-A,2025-07-13,1,2025-08-07 09:12:39,,,,,
本月热门,海通国际-京北方-002987-公司跟踪报告：人工智能和信创双驱动，新机遇值得期待-250717,公司调研,优于大市,2025-07-20,1,2025-08-07 09:12:39,,,,,
本月热门,东海证券-稀土行业产业链深度报告：全球主导地位稳固，高端应用描绘增长新曲线-250716,行业分析,,2025-07-16,1,2025-08-07 09:12:39,,,,,
本月热门,东吴证券-2025年光伏行业策略报告：供给侧拐点已至，新技术持续提升-250712,行业分析,,2025-07-12,1,2025-08-07 09:12:39,,,,,
本月热门,国投证券-电子行业深度分析：被动散热材料持续迭代，液冷成为主动散热新增长点-250731,行业分析,领先大市-A,2025-07-31,1,2025-08-07 09:12:39,,,,,
本月热门,慧博智能投研-光通信行业深度：驱动因素、发展趋势、产业链及相关公司深度梳理-250707,行业分析,,2025-07-07,1,2025-08-07 09:12:39,,,,,
本月热门,华鑫证券-化工行业专题报告：化工行业“反内卷”研究-250723,行业分析,推荐,2025-07-24,1,2025-08-07 09:12:39,,,,,
本月热门,东吴证券-汽车行业AI+汽车智能化系列之十四：华为汽车业务核心竞争力剖析-250711,行业分析,,2025-07-12,1,2025-08-07 09:12:39,,,,,
本月热门,东吴证券-传媒互联网行业专题：海外为鉴，研判AI应用产业趋势-250727,行业分析,增持,2025-07-27,1,2025-08-07 09:12:39,,,,,
本月热门,华安证券-可控核聚变行业专题：核聚变“黑马”FRC，关注半导体开关产业趋势-250723,行业分析,,2025-07-23,1,2025-08-07 09:12:39,,,,,
本月热门,华安证券-化工行业2025中期投资策略：关注涨价弹性、国产替代、超跌头部三大主线-250718,行业分析,,2025-07-18,1,2025-08-07 09:12:39,,,,,
本月热门,五矿证券-电气设备行业固态电池系列 2：从底层逻辑上看全固态电池难点和产业节奏-250714,行业分析,看好,2025-07-14,1,2025-08-07 09:12:39,,,,,
本月热门,东兴证券-首席周观点：2025年第28周-250711,投资策略,,2025-07-11,2,2025-08-07 09:12:41,,,,,
本月热门,海通国际-神州数码-000034-自有品牌、外销高增，数云融合战略取得显著成效-250709,公司调研,优于大市,2025-07-13,2,2025-08-07 09:12:41,,,,,
本月热门,国信证券-钨行业专题：战略金属供给收缩，雅下项目打开产业空间-250730,行业分析,优于大市,2025-07-30,2,2025-08-07 09:12:41,,,,,
本月热门,天风证券-2025电子行业中期策略：等待创新和周期共振-250724,行业分析,强于大市,2025-07-24,2,2025-08-07 09:12:41,,,,,
本月热门,东吴证券-人形机器人行业深度报告：人形轻量化大势所趋，镁合金&“以塑代钢”是核心-250709,行业分析,,2025-07-12,2,2025-08-07 09:12:41,,,,,
本月热门,东吴证券-华友钴业-603799-2025年中报业绩预告点评：Q2镍利润稳定，钴业绩弹性释放-250709,公司调研,买入,2025-07-09,2,2025-08-07 09:12:41,,,,,
本月热门,西南证券-有色金属行业2025年中期投资策略：中长期看好金铜铝，重视战略金属-250718,行业分析,,2025-07-18,2,2025-08-07 09:12:41,,,,,
本月热门,东吴证券-AI算力行业跟踪深度：算力互连复盘与展望——网络互连带宽的增速来自哪里？-250723,行业分析,,2025-07-23,2,2025-08-07 09:12:41,,,,,
本月热门,天风证券-机器人行业产业趋势研判：重视价值量有望提升摆线减速器-250712,行业分析,强于大市,2025-07-12,2,2025-08-07 09:12:41,,,,,
本月热门,财通证券-电解铝行业深度报告：成本下行盈利修复，紧平衡格局延续-250731,行业分析,看好,2025-08-01,2,2025-08-07 09:12:41,,,,,
本月热门,交银国际-钧达股份-002865-产品价格偏软下业绩预告符合预期，海外产能布局再下一城-250716,公司调研,买入,2025-07-16,2,2025-08-07 09:12:41,,,,,
本月热门,财通证券-计算机行业：H20解禁背后——国产算力加速进行时-250727,行业分析,看好,2025-07-28,2,2025-08-07 09:12:41,,,,,
本月热门,天风证券-隧道股份-600820-上海国资围绕加密货币与稳定币的发展趋势及应对策略开展学习，关注企业运营资产价值-250711,公司调研,买入,2025-07-11,2,2025-08-07 09:12:41,,,,,
本月热门,光大证券-策略周专题（2025年7月第1期）：哪些行业中报业绩可能更占优势？-250713,投资策略,,2025-07-13,2,2025-08-07 09:12:41,,,,,
本月热门,太平洋证券-沪电股份-002463-Q2业绩预告靓丽，算力需求高景气，业绩持续兑现-250711,公司调研,买入,2025-07-14,2,2025-08-07 09:12:41,,,,,
本月热门,慧博智能投研-机器人轻量化深度：优化路径、材料轻量化、市场空间及相关公司深度梳理-250721,行业分析,,2025-07-21,2,2025-08-07 09:12:41,,,,,
本月热门,东吴证券-传媒行业深度报告：短剧出海，不止于“奈飞平替”-250716,行业分析,增持,2025-07-16,2,2025-08-07 09:12:41,,,,,
本月热门,天风证券-消费电子行业：GB300服务器即将出货、甲骨文合同落地，看好算力投资机遇-250707,行业分析,强于大市,2025-07-07,2,2025-08-07 09:12:41,,,,,
本月热门,华鑫证券-反内卷：A股慢牛的宏观叙事-250728,投资策略,,2025-07-29,2,2025-08-07 09:12:41,,,,,
本月热门,慧博智能投研-脑机接口行业深度：市场现状、商业前景、产业链及相关企业深度梳理-250718,行业分析,,2025-07-18,2,2025-08-07 09:12:41,,,,,
本月热门,开源证券-通信行业深度报告：AI驱动光铜共进，AEC等受益于高速短距连接需求-250708,行业分析,看好,2025-07-08,2,2025-08-07 09:12:41,,,,,
本月热门,华西证券-反内卷系列研究报告（一）：反内卷，行业差异与资产影响-250720,宏观经济,,2025-07-20,2,2025-08-07 09:12:41,,,,,
本月热门,东吴证券-风电行业2025年度中期策略报告：25年陆海风需求共振，看好两海成长空间-250710,行业分析,,2025-07-11,2,2025-08-07 09:12:41,,,,,
本月热门,东海证券-机械行业：人形机器人从概念到量产，核心零部件机遇梳理-250718,行业分析,,2025-07-18,2,2025-08-07 09:12:41,,,,,
本月热门,中航证券-策略点评：经济转型牛持续，军工和资源品有望成为三季度市场主线-250712,投资策略,,2025-07-13,2,2025-08-07 09:12:41,,,,,
本月热门,民生证券-无锡振华-605319-深度报告：冲压客户结构质变，电镀半导体双轮驱动-250710,公司调研,推荐,2025-07-10,2,2025-08-07 09:12:41,,,,,
本月热门,国金证券-中材科技-002080-业绩大幅增长，继续推荐AI电子布“大满贯”-250711,公司调研,买入,2025-07-13,2,2025-08-07 09:12:41,,,,,
本月热门,中邮证券-隆扬电子-301389-引领布局hvlp5高频铜箔-250709,公司调研,买入（首次）,2025-07-09,2,2025-08-07 09:12:41,,,,,
本月热门,东海证券-技术分析行业指数简评：创业板月线技术条件相近于2019年12月突破前状态-250711,投资策略,,2025-07-11,2,2025-08-07 09:12:41,,,,,
本月热门,民生证券-顺丰控股-002352-深度报告：顺势而为，构筑长期主义价值底色-250709,公司调研,推荐（首次）,2025-07-09,2,2025-08-07 09:12:41,,,,,
本月热门,中邮证券-国防军工行业火炮深度：战争之神，王者归来-250725,行业分析,强于大市,2025-07-25,2,2025-08-07 09:12:41,,,,,
本月热门,光大证券-中国电建-601669-动态跟踪报告：水电工程龙头，受益雅江水电站动工-250720,公司调研,买入,2025-07-20,2,2025-08-07 09:12:41,,,,,
本月热门,慧博智能投研-减速器行业深度：行业壁垒、市场需求、产业链及相关公司深度梳理-250721,行业分析,,2025-07-21,2,2025-08-07 09:12:41,,,,,
本月热门,东海证券-电子行业2025年中期投资策略：行业供需弱平衡，关注AI与国产化机会-250709,行业分析,,2025-07-09,2,2025-08-07 09:12:41,,,,,
本月热门,国投证券-叙事变了！新旧动能转换四阶段框架-250709,投资策略,,2025-07-09,2,2025-08-07 09:12:41,,,,,
本月热门,东吴证券-汽车行业AI+汽车智能化系列之十五：谁在为智能化买单？-250725,行业分析,,2025-07-25,2,2025-08-07 09:12:41,,,,,
本月热门,东吴证券-国防军工行业点评报告：9·3阅兵在即，看好阅兵催化下的军工装备升级周期-250715,行业分析,增持,2025-07-15,2,2025-08-07 09:12:41,,,,,
本月热门,华西证券-可控核聚变行业：0~1产业落地可期-250728,行业分析,,2025-07-28,2,2025-08-07 09:12:41,,,,,
本月热门,金元证券-卫星互联网行业深度报告：卫星互联网——低空经济下的通感解决方案-250731,行业分析,增持,2025-08-01,2,2025-08-07 09:12:41,,,,,
本月热门,东吴证券-电动车行业2025年中期策略：稳健增长低估值，聚焦锂电龙头和固态新技术-250713,行业分析,,2025-07-13,2,2025-08-07 09:12:41,,,,,
本月热门,民生证券-新消费系列报告：解构“第五消费时代”-250712,投资策略,,2025-07-12,2,2025-08-07 09:12:41,,,,,
